text,labels
"Explosions, car chases and secret agents saving the world","action"
"A fearless soldier leads his team through an intense battle","action"
"Martial arts masters fighting to protect their honor","action"
"Superheroes unite to stop a powerful villain","action"
"A lone spy infiltrates an enemy base under heavy fire","action"
"Police officers chase criminals across the city","action"
"A warrior defends his village from invading armies","action"
"High-speed bike races and dangerous stunts","action"
"A rescue mission deep inside hostile territory","action"
"Two brothers caught in a gang war","action"
"An ex-soldier seeks revenge on corrupt leaders","action"
"A spy thriller full of gunfights and explosions","action,thriller"
"Soldiers trapped behind enemy lines","action,drama"
"A rebel pilot joins a space dogfight","action,sci-fi"
"A treasure hunter fights rivals in the desert","action,adventure"
"A group of friends find love during a summer vacation","romance"
"A shy artist falls for a confident dancer","romance"
"A prince and a commoner’s forbidden love story","romance"
"Two coworkers slowly realize they love each other","romance"
"A heartwarming tale about long-distance love","romance"
"A woman rekindles love after years apart","romance"
"A romantic evening turns into a life-changing confession","romance"
"A couple meets by chance on a rainy night","romance"
"Love blooms between a doctor and her patient","romance"
"A writer finds inspiration through a new romance","romance"
"Two teenagers experience first love in high school","romance,drama"
"A funny yet emotional story of marriage and misunderstandings","romance,comedy"
"A romantic adventure across Europe","romance,adventure"
"A love story set in the middle of a war","romance,action"
"A charming love triangle full of humor","romance,comedy"
"An awkward man gets into hilarious situations at work","comedy"
"Roommates trying to survive on a low budget","comedy"
"A stand-up comedian’s wild journey to fame","comedy"
"Unexpected guests ruin a perfectly planned dinner","comedy"
"A teacher tries to handle mischievous students","comedy"
"A lazy guy suddenly becomes an accidental hero","comedy"
"Two best friends open a ridiculous startup","comedy"
"A series of funny misunderstandings in a hotel","comedy"
"A bumbling detective solves crimes by accident","comedy"
"A dog creates chaos at a wedding ceremony","comedy"
"Two clumsy burglars attempt a heist","comedy,action"
"A romantic comedy about a mistaken identity","comedy,romance"
"A funny road trip full of unexpected troubles","comedy,adventure"
"A goofy scientist invents a talking robot","comedy,sci-fi"
"A hilarious family vacation gone wrong","comedy,drama"
"A touching story of friendship and forgiveness","drama"
"A mother struggles to raise her children alone","drama"
"A musician tries to rebuild his broken life","drama"
"A courtroom battle revealing deep family secrets","drama"
"A small-town girl dreams of becoming an actress","drama"
"Two friends drift apart after tragedy strikes","drama"
"A teacher helps troubled students find hope","drama"
"A retired boxer faces his past","drama"
"A father and son reunite after years apart","drama"
"A soldier’s letter changes a family forever","drama"
"A love that survives against all odds","drama,romance"
"A doctor coping with life and death decisions","drama,thriller"
"A story of courage during a natural disaster","drama,adventure"
"A coming-of-age film about friendship and loss","drama"
"A couple trying to save their marriage","drama,romance"
"A detective races to stop a serial killer","thriller"
"A hacker uncovers a government conspiracy","thriller"
"A tense hostage situation in a skyscraper","thriller"
"A journalist exposes a dangerous secret","thriller"
"A plane hijacking with twists and turns","thriller"
"A woman trapped in her smart home","thriller"
"A mysterious phone call leads to chaos","thriller"
"A man wakes up with no memory of his crimes","thriller"
"A political scandal threatens to destroy a nation","thriller"
"A cat-and-mouse chase between two masterminds","thriller"
"A spy movie with intense undercover operations","thriller,action"
"A detective investigates a chilling murder","thriller,drama"
"A survivor hides from a ruthless assassin","thriller,action"
"A suspenseful mystery in a quiet village","thriller,drama"
"A psychological game of lies and betrayal","thriller"
"A haunted mansion full of restless spirits","horror"
"A cursed videotape that dooms anyone who watches it","horror"
"A group of friends trapped in a forest at night","horror"
"A demonic possession terrifies a family","horror"
"A small town faces a zombie outbreak","horror"
"An ancient curse awakens an evil creature","horror"
"Strange noises echo in the abandoned asylum","horror"
"A young girl communicates with ghosts","horror"
"Survivors hide from monsters that hunt by sound","horror"
"A vampire stalks victims in the city","horror"
"A haunted ship drifting in open waters","horror,thriller"
"A terrifying secret buried beneath the snow","horror,thriller"
"An exorcist faces his most powerful demon yet","horror,drama"
"A creature feature in the depths of the ocean","horror,adventure"
"A possessed doll wreaks havoc in a family home","horror"
"A young wizard learns the secrets of his powers","fantasy"
"A magical kingdom threatened by dark sorcery","fantasy"
"A knight sets out on a quest to find a lost relic","fantasy"
"A fairy helps restore balance to her world","fantasy"
"A dragon befriends a brave child","fantasy"
"An enchanted forest full of mythical creatures","fantasy"
"A cursed prince must break a spell to survive","fantasy"
"A group of heroes band together to save the realm","fantasy"
"A mysterious portal opens to another dimension","fantasy"
"A girl discovers her hidden magical heritage","fantasy"
"A wizard and warrior join forces against evil","fantasy,adventure"
"A fantasy world mixed with futuristic elements","fantasy,sci-fi"
"A royal romance set in a magical land","fantasy,romance"
"A battle between angels and demons","fantasy,action"
"A young hero chosen by destiny","fantasy,adventure"
"Spaceships battling in intergalactic wars","sci-fi"
"A scientist discovers time travel technology","sci-fi"
"Humans colonize a new planet far from Earth","sci-fi"
"A robot learns what it means to be human","sci-fi"
"A dystopian world ruled by artificial intelligence","sci-fi"
"Aliens invade Earth seeking its resources","sci-fi"
"A cyberpunk hacker fights a mega-corporation","sci-fi"
"A space crew faces an unknown alien threat","sci-fi"
"A soldier trapped in a virtual reality loop","sci-fi"
"A post-apocalyptic world of survival and hope","sci-fi"
"A romantic tale set in the far future","sci-fi,romance"
"A mix of science fiction and detective noir","sci-fi,thriller"
"A group of explorers on a distant moon","sci-fi,adventure"
"Time travelers try to correct the past","sci-fi,action"
"Robots defending humanity from extinction","sci-fi,action"
"A playful cartoon about animals on a mission","animation"
"A young girl befriends a talking panda","animation"
"A robot and a boy form an unlikely friendship","animation"
"Funny penguins plan a daring escape","animation"
"A princess finds courage to save her kingdom","animation"
"A magical journey through colorful worlds","animation"
"A group of toys come to life when humans leave","animation"
"An animated tale of hope and family","animation"
"A little fish lost in the ocean seeks home","animation"
"A dragon and a kid team up to stop villains","animation"
"Animated superheroes saving the day","animation,action"
"A heartwarming animated adventure about friendship","animation,adventure"
"A funny love story between animated characters","animation,romance"
"A brave dog’s animated journey through the snow","animation,drama"
"A space adventure told through animation","animation,sci-fi"
"A treasure hunter exploring ancient ruins","adventure"
"A group of explorers crossing the jungle","adventure"
"An expedition to the top of the world","adventure"
"A sailor lost at sea fights for survival","adventure"
"A family road trip turns into an epic journey","adventure"
"A pilot discovers a hidden island","adventure"
"Two friends explore mysterious caves","adventure"
"A mountaineer’s climb against impossible odds","adventure"
"A journey across deserts and mountains","adventure"
"A boy sets out to find a legendary creature","adventure"
"A fantasy adventure through magical kingdoms","adventure,fantasy"
"An action-packed treasure hunt around the world","adventure,action"
"A sci-fi adventure aboard a space cruiser","adventure,sci-fi"
"A romantic adventure between travelers","adventure,romance"
"A cartoon adventure about teamwork and courage","adventure,animation"
